album_id,album_name,release_date,label,copyrights
spotify:album:1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),2014-06-21,Atlantic Records UK,"C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc."
spotify:album:0A1kkCm8cEEPcA6yIkz1wr,First Of All,1976-01-01,"Universal Music, a division of Universal International Music BV","C © 2001 Universal International Music B.V., P ℗ 2001 Universal International Music B.V."
spotify:album:0RsPmRzTbarQCXBgLSW5Ox,Yours,2016-01-01,DNA Songs/Sony Music Entertainment,P (P) 2015 DNA Songs/ Sony Music Entertainment Australia Pty Ltd.
spotify:album:1LL6GWTsMYiRc0fwGfoU3h,Rock & Roll 50s & 60s Mix,2016-10-01,Rock Miramike,"C 2016 Rock Miramike, P 2016 Rock Miramike"
spotify:album:60XZbb6xRKj7waYqeJi3wz,Dance Little Lady,2012-03-20,Dressed 2 Kill - OMP,C 2012 One Media Publishing
spotify:album:21c5423eTa6tKyMs9DKGW7,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),2011-03-08,Columbia,P (P) 2011 Twentieth Century Fox Film Corporation
spotify:album:6WLRzKWVxm6qPEUBMVG5cH,20 Golden Greats,2012,Universal Music Group,"C © 2012 Mercury Records Limited, P ℗ 2012 Mercury Records Limited"
spotify:album:50bQvrNAFsAaIbqCcfD7FT,Writing's On The Wall,2015-09-25,Capitol,"C © 2015 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2015 Capitol Records, a division of Universal Music Operations Limited"
spotify:album:1F8Hmjm8xJC1OhSEMn7pDR,If You Knew Suzi… (2017 Remaster),1978-08-12,Chrysalis Records,"C 1978 Chrysalis Records Limited, P 2017 Chrysalis Records Limited"
spotify:album:0F9bpInUaHGru63OHqBuQ8,Take Yourself Home,2020-04-01,EMI Recorded Music Australia Pty Ltd,"C © 2020 Universal Music Australia Pty Ltd., P An EMI Recorded Music Australia Production; ℗ 2020 Universal Music Australia Pty Ltd."
spotify:album:52BJ1S5NOv7eFD6ZFDZga2,All In a Night's Work (Expanded Version),2016-03-11,Epic/Legacy,"P This compilation (P) 2015 Epic Records, a division of Sony Music Entertainment"
spotify:album:5BNmZXVJX3h8WbtXyRTRln,Hold On Tight,2008-10-07,Decaydance/Columbia,P (P) 2008 SONY BMG MUSIC ENTERTAINMENT
spotify:album:0OHvyFSN4W0fjJ7CiehVMB,La Guestlist,2009-10-19,SME Strategic Marketing Group,P (P) 2009 Sony Music Entertainment
spotify:album:4lVR2fg3DAUQpGVJ6DciHW,Dangerous Woman,2016-05-20,Universal Music Group,"C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
spotify:album:6MLD7tcwokFlJ4Nu048flm,The Full Marty,2010-01-01,UMC (Universal Music Catalogue),"C © 2010 Mercury Records Limited, P This Compilation ℗ 2010 Mercury Records Limited"
spotify:album:7B4ewUWVdSC9yuFGiFWuem,"Ultimate Collection, Vol. 1",2015-03-06,10TEN MEDIA,"C 2015 10TEN MEDIA, P 2015 10TEN MEDIA"
spotify:album:7IgYFMrRiybuW2T85jklrC,Delicious,2002,WM Australia,"C © 2002 Mushroom Records, P ℗ 2002 Mushroom Records"
spotify:album:3Dg3quPRLDCsEqnzgPl6PE,The Slider,1972-07-21,Edsel,C (C) 2007 Demon Music Group Ltd.
spotify:album:3fzHLg5RfRXzQlHlR4F7JG,Greatest Vol.1 - Belinda Carlisle,1987,Crimson,"C (C) 2013 Demon Music Group Ltd., P (P) 1987 Artist Management Services Ltd."
spotify:album:0vMm7ACFW8V1dY4ETr0LNN,The Lonesome Jubilee (Remastered),1987,Universal Music Group,"C © 2005 John Mellencamp, under exclusive license to the Island Def Jam Music Group, P ℗ 2005 John Mellencamp, under exclusive license to the Island Def Jam Music Group"
spotify:album:1aUeYy0hXu0KBuJ5To0hS0,Wrecking Ball,2013-08-25,RCA Records Label,"P (P) 2013 RCA Records, a division of Sony Music Entertainment"
spotify:album:2uNFpEVey5RsxzTdoDmjiz,Beautiful Lies (Deluxe),2016-03-25,Atlantic Records UK,"C © 2016 Jasmine Van Den Bogaerde under exclusive licence to Atlantic Records UK, a Warner Music Group company, P ℗ 2016 Jasmine Van Den Bogaerde under exclusive licence to Atlantic Records UK, a Warner Music Group company"
spotify:album:7iC7iQaeRrG33H6VInfl00,Clarity (Deluxe),2014-01-01,Interscope,"C © 2014 Interscope Records, P ℗ 2014 Interscope Records"
spotify:album:0fLhefnjlIV3pGNF9Wo8CD,Californication,1999-06-08,Warner Records,"C © 1999 Warner Records Inc., P ℗ 1999 Warner Records Inc."
spotify:album:7tB40pGzj6Tg0HePj2jWZt,News Of The World (2011 Remaster),1977-10-28,EMI,"C © 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV, P ℗ 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV"
spotify:album:56hiT6YRCDxQZGhA8vzqhW,Go Bush!,1987-04-03,WM Australia,"C © 1987 The Warumpi Band, P ℗ 1987 The Warumpi Band"
spotify:album:5TedEgCbtmvDnXzUtXEFJY,Born to Do It,2000-08-14,Sony Music UK,"P (P) 2001 Wildstar Records Limited, licensed exclusively to Sony Music Entertainment UK Limited"
spotify:album:2YI0nSvfqdSmRteWw26PDE,Monte Video,1983-12-01,WM New Zealand,"C © 1983 Mushroom Records New Zealand, P ℗ 1983 Mushroom Records New Zealand"
spotify:album:4kZKz4ZQCnuKWV6MqOR2H2,Thirty One,2015-09-11,Universal Music Australia (Distribution),"C © 2015 Dryden Street Ltd, P ℗ 2015 Dryden Street Ltd"
spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY,C.W. McCall's Greatest Hits,1990-01-01,Island Mercury,"C © 1990 UMG Recordings, Inc., P This Compilation ℗ 1990 UMG Recordings, Inc."
spotify:album:0zwLBIFXdXAEJnPmNVhrV0,Pretty Flamingo,1966-01-01,East Central One,"C 1966 East Central One Limited, P 1966 East Central One Limited"
spotify:album:6GJCGWfI95aeRsdtVB52vc,Back To Black,2006-01-01,Universal Music Group,"C © 2006 Universal Island Records Ltd. A Universal Music Company., P ℗ 2006 Universal Island Records Ltd. A Universal Music Company."
spotify:album:5hLWqk2l9tsRN0zICJBxsQ,Turn Around (feat. Ne-Yo),2012-10-05,Parlophone UK,"C © 2012 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2012 Parlophone Records Ltd, a Warner Music Group Company"
spotify:album:0oLeI4xFJnOBMbQJH6TgEs,Shock Value II (International Deluxe version),2009-01-01,Universal Music Group,"C © 2009 Blackground Records/Interscope Records, P ℗ 2009 Blackground Records/Interscope Records"
spotify:album:6EMxWaM803hd4sPsJ6PkcA,Making Mirrors,2011-01-01,Universal Music Australia Pty. Ltd.,"C © 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company. Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license, P ℗ 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company. Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license"
spotify:album:1EOnmB8FWY9Fn8p7RrRxkx,Matthew & Son,1967-03-10,Decca Music Group Ltd.,"C © 1988 Decca Music Group Limited, P This Compilation ℗ 1988 Decca Music Group Limited"
spotify:album:7kV1uhqaH7vVBZ0QTPVZxx,Friday On My Mind,1967-01-01,Albert Productions,"C © 1967 BMG AM Pty Ltd., P ℗ 1967 BMG AM Pty Ltd."
spotify:album:5x7vXXWapy8cUmdSuwpUy1,Number 1's,2007-01-01,Universal Strategic Marketing,"C © 2007 Motown Records, a Division of UMG Recordings, Inc., P ℗ 2007 Motown Records, a Division of UMG Recordings, Inc."
spotify:album:3TJz2UBNYJtlEly0sPeNrQ,The Thrill Of It All (Special Edition),2017-11-03,Capitol,"C © 2017 Universal Music Operations Limited, P ℗ 2017 Universal Music Operations Limited"
spotify:album:4oa2hZ1r8L8Egf9ec6ncCM,The Classic Collection,1997-01-01,Sanctuary Budget,"C © 1997 Sanctuary Records Group Ltd., a BMG Company, P ℗ 1997 Sanctuary Records Group Ltd., a BMG Company"
spotify:album:7MZzYkbHL9Tk3O6WeD4Z0Z,Relapse: Refill,2009-05-15,Aftermath,"C © 2009 Aftermath Records, P ℗ 2009 Aftermath Records"
spotify:album:38oLAYrpyuLO8RchXHUzyz,Angels With Dirty Faces (International version),2002-01-01,Island Records,"C © 2002 Universal Island Records Ltd. A Universal Music Company., P ℗ 2002 Universal Island Records Ltd. A Universal Music Company."
spotify:album:5sQTfUX9uSwfCtPiYGO20V,Juju on That Beat (TZ Anthem),2016-09-30,"Tha Lights Global, INC/Atlantic Recording Corp","C © 2016 Tha Lights Global, INC / Atlantic Recording Corporation, P ℗ 2016 Tha Lights Global, INC / Atlantic Recording Corporation"
spotify:album:2FBA8NCSuQNi8jaR2Xjbal,The Fame,2008-01-01,Streamline/Interscope,"C © 2008 Interscope Records, P ℗ 2008 Interscope Records"
spotify:album:5TdKeSLPSowWxKkenaEK04,7,1981-10-02,Salvo,"C © 2010 Stirling Holdings Ltd., under exclusive license to Union Square Music Limited, a BMG Company, P ℗ 2010 Stirling Holdings Ltd., under exclusive license to Union Square Music Limited, a BMG Company"
spotify:album:4z6lzPnxVfkCibGIbPuIuu,Timeless,2015-04-17,Universal Music Australia Pty. Ltd.,"C © 2015 Universal Music Australia Pty Ltd., P This Compilation ℗ 2015 Universal Music Australia Pty Ltd."
spotify:album:4JDH8EfRq4DZNqkY42IW8Y,You Talk Too Much - The Best Of,2010-07-01,Brownbeats Records,"C (C) 2010 Goldenlane Records, P (P) 2010 Goldenlane Records"
spotify:album:44zMHQz2GkFUEifL4DuDNY,All Star Smash Hits,2005-01-01,Universal Music Group,"C © 2005 Interscope Records, P ℗ 2005 Interscope Records"
spotify:album:68SzmgbXOVkYdNvvt6lpRW,One In A Million,2018-05-04,Universal Music Australia Pty. Ltd.,"C © 2018 Jordie Ireland, under exclusive license to Universal Music Australia, P ℗ 2018 Jordie Ireland, under exclusive license to Universal Music Australia"
spotify:album:5mJYFwj51OpBqRSxZCBLTT,Mad Mad World,1992,EMI Music Canada,"C © 1991 EMI Music Canada, P ℗ 1991 EMI Music Canada"
spotify:album:01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),2017-06-02,Warner Records,"C © 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited, P ℗ 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited. Tracks 3, 6, 7, 8, 9, 13, 14 (P) 2016 Warner Music UK Limited. Tracks 4, 15, 17 (P) 2015 Warner Music UK Limited."
spotify:album:5oEljuMoe9MXH6tBIPbd5e,Backstreet's Back,1997-10-09,Jive,P (P) 1997 Zomba Recording LLC
spotify:album:4MGDyHLc9ctHHiX4wCn1tV,Stars Dance,2013-01-01,Universal Music,"C © 2013 Hollywood Records, Inc., P ℗ 2013 Hollywood Records, Inc."
spotify:album:32Bu3ETQhR1PFCj3ndDlYf,The Trinity,2005-09-26,Atlantic Records,"C © 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
spotify:album:7bcUz60MilxMGurjN2T5nS,Captain Fantastic (Deluxe Edition),1975-05-19,Universal Strategic Marketing,"C © 2005 This Record Company Ltd., P ℗ 2005 This Record Company Ltd. Manufactured by the Island Def Jam Music Group"
spotify:album:1TwNATuAqnNjTd5BSvFZlS,Only One Flo (Part 1),2010-11-24,Poe Boy/Atlantic,"C © 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
spotify:album:5edluM30Us1pl4LA8umamH,Storybook,2011-09-23,Bloodlines,"C 2011 Bloodlines, P 2011 Bloodlines"
spotify:album:6eUVsZ7movjdgq0PB0hvSW,Let It Flow,1999-04-23,Grm Game,"C 1999 Grm Game, P 1999 Grm Game"
spotify:album:4ljisoNarj0BpQSMIEv88L,Until Now,2012-01-01,Virgin Records,"C © 2012 EMI Records Ltd, P ℗ 2012 EMI Records Ltd"
spotify:album:4ddvFk8agFfRkkcVwR8sJH,Pocahontas Original Soundtrack (English Version),1995-01-01,EMI Gold,"C © 1995 Disney / Disney Enterprises Inc, P This Compilation ℗ 1995 Buena Vista Pictures Distribution Inc"
spotify:album:6PBBbXmYV7dKnaik0fjkOI,Electronic Earth (Expanded Edition),2012-04-02,Syco Music UK,P (P) 2012 Simco Limited under exclusive license to Sony Music Entertainment UK Limited
spotify:album:6GphKx2QAPRoVGWE9D7ou8,Pet Sounds (Original Mono & Stereo Mix),1966-06-16,Capitol Records,"C © 2001 Capitol Records, LLC, P ℗ 2001 Capitol Records, LLC"
spotify:album:4TM7wmWEakp4xk1ZffVkL8,Together,2020-05-20,Monkey Puzzle/Atlantic,"C © 2020 Monkey Puzzle Music, Inc., under exclusive license to Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States., P ℗ 2020 Monkey Puzzle Music, Inc., under exclusive license to Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States."
spotify:album:7i3ZUKLj6bszovw4IfRECy,Sweat (Snoop Dogg Vs. David Guetta) [Remix],2011-01-01,Capitol Records,"C © 2011 Capitol Records, LLC, P ℗ 2011 Capitol Records, LLC"
spotify:album:2ZcceaFPxi5CuqoBUfedKn,True - The Digital E.P.,2008-04-25,Parlophone UK,"C © 2008 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2008 Parlophone Records Ltd, a Warner Music Group Company"
spotify:album:1I4W7JKzYbl8VKRfD61DIS,Stay,2017-02-23,UMGRI Interscope,"C © 2017 Interscope Records, P ℗ 2017 Interscope Records"
spotify:album:2OvZ8JCShhvxNkptwoGjve,In Case You Didn't Know,2011-11-28,Epic,P (P) 2011 Sony Music Entertainment UK Limited
spotify:album:08DAekBeqPRCsn3XHDwj6b,Nothing but the Beat,2011-08-31,Parlophone (France),"C © 2011 What A Music Ltd, Licence exclusive Parlophone Music France, P ℗ 2011 What A Music Ltd, Licence exclusive Parlophone Music France"
spotify:album:6itPRfFQncP30pMqNV7Pvh,David Jones,1965,Rhino,"C © 1965 Rhino Entertainment Company., P ℗ 2011 Rhino Entertainment Company, A Warner Music Group Company."
spotify:album:6NPoxEiMqOpHZyymu1Begh,The Gold Collection,1996-03-18,Cherry Red Records,"C (C) 1996 Cherry Red Records Ltd, P (P) 1996 Cherry Red Records Ltd"
spotify:album:0jD1tOJpP0Qz8UcLq3FFkr,Never Been Better (Deluxe),2014-11-21,Epic,P (P) 2014 Sony Music Entertainment UK Limited
spotify:album:1RWiRfdNZKDe8VXzzf2VEc,you broke me first,2020-04-17,RCA Records Label,"P (P) 2020 RCA Records, a division of Sony Music Entertainment"
spotify:album:5mrXvDnW1MK275vDsplMIF,Like It Like That,2009-10-23,Sony Music Entertainment,P (P) 2009 Sony Music Entertainment Australia Pty Ltd.
spotify:album:7fZH0aUAjY3ay25obOUf2a,Purpose (Deluxe),2015-11-13,Universal Music Group,"C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
spotify:album:4XbSwLzvznYCophbz8ElMV,I Wanna Be With You,2000-05-09,Epic/550 Music,"P (P) 1999, 2000 Sony Music Entertainment Inc."
spotify:album:6KuHbuDiJNcgEvnLTnfQcY,I Remember,2016-09-16,Universal-Island Records Ltd.,"C © 2016 Island Records, a division of Universal Music Operations Limited and Interscope Records, P ℗ 2016 Island Records, a division of Universal Music Operations Limited and Interscope Records"
spotify:album:3pIrfgAYjBpTBBKgtrwKgZ,Shakira. (Deluxe Version),2014-03-21,RCA/Sony Latin Iberia,P (P) 2014 Ace Entertainment S.ar.l.
spotify:album:4E2eUhFHqTG2pu9MN1NDIF,The Essential Johnny Cash,2002-02-12,Columbia/Legacy,P This compilation (P) 2002 Sony Music Entertainment
spotify:album:7JgWdCGMBwJkYb91oiFzxd,Casino Twilight Dogs,2007-01-30,Anti/Epitaph,"C 2007 Epitaph, P 2007 Epitaph"
spotify:album:12n11cgnpjXKLeqrnIERoS,Tapestry,1971,Ode/Epic/Legacy,"P Originally released 1971. All rights reserved by Ode Records. Originally released 1961, 1971. All rights reserved by Sony Music Entertainment. (P) 2007, 2008 Sony Music Entertainment."
spotify:album:1PruwGvQDfgh6CTSFWPNtn,Billionaire (feat. Bruno Mars),2010-03-09,Decaydance/Fueled By Ramen,"C © 2010 Fueled By Ramen, LLC. for the United States and WEA International Inc. for the world outside of the United States. All rights reserved., P ℗ 2010 Fueled By Ramen, LLC. for the United States and WEA International Inc. for the world outside of the United States. All rights reserved."
spotify:album:3RhVd2QtOoRhRGmCnptrOU,Music Inspired By Star Wars And Other Galactic Funk,1977-01-01,Island Def Jam,"C © 2015 Mercury Records, P ℗ 1999 Mercury Records"
spotify:album:5HUtHxlUdzLohx6fadGfIE,Red Dog: True Blue (Original Motion Picture Soundtrack),2011,Universal Music Australia Pty. Ltd.,"C © 2011 Woss Group Film Productions Pty Ltd, P This Compilation ℗ 2011 Woss Group Film Productions Pty Ltd"
spotify:album:5ps3FwS0qGdRCvXop8q9vn,In A Tidal Wave Of Mystery (Deluxe Edition),2013,Universal Music Group,"C © 2014 Lazy Hooks, LLC, Under Exclusive License To Capitol Records, LLC, P ℗ 2014 Lazy Hooks, LLC, Under Exclusive License To Capitol Records, LLC"
spotify:album:3XtEGVx9uh7J46nBzEc1VS,Immersion,2010-05-21,WM UK,"C © 2010 Warner Music UK Limited, P ℗ 2010 Warner Music UK Limited"
spotify:album:5OIi0lw57XjbP7JjD0uHuS,Ring,1993-01-01,Universal Music Group,"C © 1993 The Bicycle Music Company, P ℗ 1993 The Bicycle Music Company"
spotify:album:2TWdmpnFNCMlZDQROleupK,Pocket Full Of Kryptonite,1991-08-27,Epic,P (P) 1991 SONY BMG MUSIC ENTERTAINMENT
spotify:album:1nmxUznbVkZorzeY4olXco,Sex & Cigarettes,2018-03-23,Def Jam Recordings,"C © 2018 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2018 Def Jam Recordings, a division of UMG Recordings, Inc."
spotify:album:1hL6LPPd0YZcrE4858xIIR,Neon Nights (Rhino Re-issue),2003-03-03,Rhino,"C 2007 Warner Music UK Ltd, P 2007 Warner Music UK Ltd"
spotify:album:4OFvKdVDW2iJBGbxZCqGad,4 U EP,2010-12-20,Atlantic Records,"C 2011 © 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
spotify:album:5mop3U7FxoJDAP3AACa5x2,In Your Mind,1977,EG Records,"C © 1999 Virgin Records Limited, P ℗ 1999 Virgin Records Limited"
spotify:album:029WUoBjWc7Js1QiPH3mw0,James Arthur (Deluxe),2013-11-04,Syco Music,P (P) 2013 Simco Limited
spotify:album:5p6366G0kGyFvs58NUhuij,Hello,2012-01-01,Cash Money,"C © 2012 Cash Money Records Inc., P ℗ 2012 Cash Money Records Inc."
spotify:album:5gThgG5LPRzL8Egdm2Izpm,Dinner with My Darling,2017-02-03,Legacy Recordings,P This compilation (P) 2017 Sony Music Entertainment
spotify:album:4iCcsBlzVQVZoJzxBvhuyS,working,2021-06-17,RCA Records Label,"P (P) 2021 RCA Records, a division of Sony Music Entertainment"
spotify:album:2BTYDZEWcHgCxCnDM4ribC,Love Me Like You,2015-09-25,Syco Music,P (P) 2015 Simco Limited under exclusive license to Sony Music Entertainment UK Limited
spotify:album:2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head),2020-02-08,Columbia,P (P) 2020 Columbia Records [Robots and Humans].
spotify:album:4MCld6WjAzS4chIDFJL9en,Taylor Henderson,2013-12-02,Sony Music Entertainment,P (P) 2013 Sony Music Entertainment Australia Pty Ltd.
spotify:album:1OYl5abBuSaZFR4SgjASGe,Nine,2015-11-20,Sony Music Entertainment,P (P) 2015 Sony Music Entertainment Australia Pty Ltd.
spotify:album:50DZkQXHtsUjZksvKZ77q4,Players Paradise,2005-01-01,Universal Music,"C © 2005 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2005 Universal Records, a Division of UMG Recordings, Inc."
spotify:album:2wMavIKnu6feFNOeQ1hVwf,Pain Is Love,2001-01-01,RAL (Rush Associated Label),"C © 2001 The Island Def Jam Music Group, P ℗ 2001 UMG Recordings, Inc."
spotify:album:6dRctIZQKuZCSSoR6QBBv9,Diamonds and Pearls,1991-10-01,Warner Records,"C © 1991 Warner Records Inc., P ℗ 1991 Warner Records Inc."
spotify:album:3ls7tE9D2SIvjTmRuEtsQY,Dare!,1981,Virgin Records,"C © 2003 Virgin Records Limited, P ℗ 2003 Virgin Records Limited"
spotify:album:2G3U48j96ljJgnWiIc7aGd,Live At The George Ballroom,2005,Thompson Music P/L,"C 2005 Thompson Music P/L, P 2005 Thompson Music P/L"
spotify:album:6V5kvtOghmiq68PtJXbg6W,Hey Ricky,1982,SMSP,P (P) 1982 Arista Records LLC
spotify:album:0RhmLffWf3oRr6ahOS6G47,Waking Up The Neighbours,1991-09-24,Universal Music Group,"C © 1991 UMG Recordings, Inc., P ℗ 1991 UMG Recordings, Inc."
spotify:album:3LcOOTBvHj22Nl90AuRsro,Idea (Deluxe Edition),1968-08-11,Bee Gees Catalog,"C © 1968 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group, P ℗ 2008 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group"
spotify:album:2vh0Lg3vwmArk6KI0m9eb5,Smile...It Confuses People,2006-06-05,Guardian Angels Music,C (C) 2016 Guardian Angels Music LLC
spotify:album:2mFcOZBh8JmZdwIiOVeTw7,Decade,1977,Reprise,"C © 1976 Warner Records Inc., P ℗ 1972, 1974, 1975,1976 Warner Records Inc."
spotify:album:00dyKMXDH41ceeiMP21ACu,Murphy's Law,2003-01-01,Motown,"C © 2003 Universal Records, a Division of UMG Recordings, Inc., P ℗ 2003 Universal Motown Records, a division of UMG Recordings, Inc."
spotify:album:2ploE2Xfb4u43TnK7OAos3,Madness,2014-11-21,Sony Music Entertainment,P (P) 2014 Sony Music Entertainment Australia Pty Ltd.
spotify:album:2Fge13BVj9xQN1VAzylpu5,Push (Deluxe Edition),2013-11-08,Sony Music UK,P (P) 2013 Sony Music Entertainment UK Limited
spotify:album:5Nwsra93UQYJ6xxcjcE10x,Nine Track Mind,2016-01-29,Artist Partner,"C © 2016 Artist Partners for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company., P ℗ 2016 Artist Partners for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company."
spotify:album:4bAwnTaD8QcruiVdb1zzzY,Peaceful Journey,1991-01-01,Uptown,"C © 1991 MCA Records Inc., P ℗ 1991 UMG Recordings, Inc."
spotify:album:3N88bRVAwQrtKqSV0UgU69,"My Dear Melancholy,",2018-03-30,Universal Republic Records,"C © 2018 The Weeknd XO, Inc., manufactured and marketed by Republic Records, a division of UMG Recordings, Inc., P ℗ 2018 The Weeknd XO, Inc., manufactured and marketed by Republic Records, a division of UMG Recordings, Inc."
spotify:album:4Tzok4AlxCpo8YVFRWKk3a,It's All Happening - 23 Original Hits (1964-1975),1995-01-01,Albert Productions,"C © 1995 BMG AM Pty Ltd., P ℗ 1995 BMG AM Pty Ltd."
spotify:album:5WndWfzGwCkHzAbQXVkg2V,I Never Loved a Man the Way I Love You,1967-03-10,Rhino Atlantic,"C © 1967 Atlantic Recording Corp., manufactured and mareketed by Rhino Entertainment Company, a Warner Music Group company, P ℗ 1967 Atlantic Recording Corp., manufactured and mareketed by Rhino Entertainment Company, a Warner Music Group company"
spotify:album:6945nocZM0gGU8U9IG0gzp,Boomania,1990-04-02,Sony BMG Music UK,P (P) 1990 Rhythm King
spotify:album:3aLKBtYt2B0XdLaTtBzF2n,Sweet Caroline,1969,Universal Music Group,"C © 1987 Geffen Records, P ℗ 1987 Geffen Records"
spotify:album:5HRB9TeaIHRBxfIm4XZTj6,Atomic/Atomix,1999-01-01,Parlophone Catalogue,"C © 1999 EMI Records Ltd, P This Compilation ℗ 1999 EMI Records Ltd"
spotify:album:71mPApAzW9HkbUGdYzMQHb,Miss Thang,1995-07-18,Arista,P (P) 1995 Rowdy Records
spotify:album:3NsZev3pxengJeEoTeuzGb,The Very Best of Suzi Quatro,1999-07-19,Chrysalis Records,"C 2016 Chrysalis Records Limited, P 1999 Chrysalis Records Limited"
spotify:album:30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,1997-05-20,RCA Records Label,"P (P) 1997 Roswell Records, Inc."
